                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 0.9012,                 4.1553,                  1.664,                0.02771,                0.73262,                0.04665,                0.04268,                 0.5613,                 15.346,                 1.3914,             2.5596e-05,             2.5596e-05,             2.5596e-05
                     48,                0.88647,                 4.1216,                 1.6565,                0.00781,                0.94982,                0.03892,                0.03569,                0.55659,                 17.413,                  1.381,             2.5131e-05,             2.5131e-05,             2.5131e-05
                     49,                0.90579,                 4.1179,                 1.6603,                0.00773,                0.94827,                  0.038,                 0.0343,                0.58282,                 27.251,                 1.3885,             2.4666e-05,             2.4666e-05,             2.4666e-05
                     50,                0.88154,                 4.1055,                 1.6492,                0.02534,                0.74444,                0.04993,                0.04545,                0.56521,                 26.785,                 1.3762,               2.42e-05,               2.42e-05,               2.42e-05
                     51,                0.87647,                 4.0942,                 1.6269,                0.00766,                0.95574,                0.04861,                0.04399,                0.60213,                 21.483,                 1.4141,             2.3735e-05,             2.3735e-05,             2.3735e-05
                     52,                 0.9018,                 4.1148,                 1.6422,                0.05877,                0.61635,                0.04885,                0.04443,                0.56718,                 17.793,                  1.379,              2.327e-05,              2.327e-05,              2.327e-05
                     53,                0.87753,                 4.0954,                 1.6353,                 0.0271,                0.75163,                0.04518,                0.04016,                0.59254,                 12.749,                 1.4001,             2.2804e-05,             2.2804e-05,             2.2804e-05
                     54,                0.86305,                 4.0706,                 1.6194,                0.04225,                0.65835,                0.04317,                0.03941,                0.56187,                 25.895,                 1.3645,             2.2339e-05,             2.2339e-05,             2.2339e-05
                     55,                0.86034,                 4.0557,                 1.6234,                0.00961,                0.91931,                0.04728,                0.04383,                 0.5297,                  15.08,                 1.3311,             2.1874e-05,             2.1874e-05,             2.1874e-05
                     56,                0.86324,                 4.0544,                 1.6154,                0.00844,                0.95483,                0.04636,                0.04285,                0.53954,                 11.991,                 1.3448,             2.1408e-05,             2.1408e-05,             2.1408e-05
                     57,                  0.846,                 4.0376,                 1.6019,                0.04239,                 0.6251,                 0.0475,                0.04392,                 0.5506,                 13.262,                 1.3568,             2.0943e-05,             2.0943e-05,             2.0943e-05
                     58,                0.83289,                 4.0467,                 1.5832,                0.04314,                0.64918,                0.04718,                0.04384,                0.54082,                  17.44,                 1.3447,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     59,                0.84477,                 4.0368,                 1.5954,                0.00805,                0.95209,                0.04531,                0.04188,                0.52663,                 20.695,                 1.3223,             2.0013e-05,             2.0013e-05,             2.0013e-05
                     60,                0.84507,                  4.023,                 1.6071,                0.02839,                0.81708,                 0.0476,                0.04445,                0.53104,                 15.565,                 1.3229,             1.9547e-05,             1.9547e-05,             1.9547e-05
                     61,                0.84119,                 4.0244,                 1.5948,                0.00798,                0.96029,                0.05069,                0.04709,                0.53872,                 18.317,                 1.3375,             1.9082e-05,             1.9082e-05,             1.9082e-05
                     62,                0.83387,                 4.0099,                 1.5864,                0.00799,                0.96412,                0.04846,                0.04422,                 0.5504,                 20.589,                 1.3481,             1.8617e-05,             1.8617e-05,             1.8617e-05
                     63,                0.82244,                 4.0028,                 1.5808,                0.01524,                0.94371,                0.05104,                0.04735,                0.53795,                 16.613,                 1.3387,             1.8151e-05,             1.8151e-05,             1.8151e-05
                     64,                0.82224,                 4.0019,                 1.5678,                0.00794,                0.95182,                0.05182,                0.04849,                0.51531,                 15.103,                 1.3056,             1.7686e-05,             1.7686e-05,             1.7686e-05
